tid [x]	hastighed [m/s]
0.0277392510402	3.9596573022
5.09341600718	56.2898045263
9.59778085992	99.9941659148
14.5141551766	150.244780887
19.7348453945	203.321280782
25.3732560986	246.324868288
29.8180631476	288.234564857
35.4026270702	330.149958774
40.8713388268	360.511129656
44.9579831933	370.641015532
49.3554703435	378.218489218
51.9988577955	369.888965512
54.540262707	368.806469271
56.6647629926	353.970573422
58.3168801501	338.804231353
60.7579342417	312.391323075
63.4005058334	286.388623899
66.6459982051	267.974793106
69.9518642408	243.14574775
73.9911887085	226.520884429
78.3821489761	202.643296295
83.4535367545	185.648105313
87.3851676593	174.435723196
91.4726278861	160.357574716
95.1480786489	151.270303641
100.320633108	134.645440321
106.996818145	124.857395364
112.480215387	115.479559508
